target,task,model,experiment,source_layout,battery_name,mae,mape,mse,rmse,max_ae,bias,r2,pearson_r,endpoint_ae,endpoint_ape
RUL,ZN-coin2024,GRU,experiment1,flat,ZN-coin_433-1_20231227204534_01_4,76.7157944192538,0.4572025045964443,7986.935999356112,89.36965927738626,278.54473876953125,59.31172445284061,0.9066008373641908,0.973521682253842,211.5134429931641,
RUL,ZN-coin2024,GRU,experiment1,flat,ZN-coin_422-3_20231205230049_02_1,24.666604942068115,0.2994639371706046,763.5455581025117,27.632328133954108,56.881591796875,-22.591379658340493,0.9400670675996244,0.9918457302317728,16.7938232421875,
RUL,ZN-coin2024,GRU,experiment1,flat,ZN-coin_417-3_20231209234058_10_8,12.30664885928259,0.3322210444526619,226.51017155569068,15.05025486680178,93.1011962890625,5.343937046997382,0.9822205516674328,0.9922041824054746,35.52490234375,
RUL,ZN-coin2024,CNN,experiment1,flat,ZN-coin_445-3_20240104212530_07_1,187.23709910042984,4.637794446622737,37788.194871626125,194.3918590672617,314.0516357421875,186.73221762725925,-3.4561550755741326,0.8126591945978905,80.52859497070312,
RUL,ZN-coin2024,CNN,experiment1,flat,ZN-coin_410-2_20231209232626_09_2,58.18738194926621,1.723741159504643,4955.379035557504,70.3944531590203,122.54904174804688,54.172239298710736,0.6110377519655046,0.977637010014001,122.54904174804688,
RUL,ZN-coin2024,Attention,experiment1,flat,ZN-coin_410-2_20231209232626_09_2,34.54555579768422,0.9989672818001948,1673.429507703218,40.90757274274799,91.92660522460938,18.212566639151415,0.8686476052441319,0.9878585274682116,67.82754516601562,
RUL,ZN-coin2024,Attention,experiment1,flat,ZN-coin_439-1_20231227204804_04_6,756.5511707996759,3.2046603738127812,708132.8815357214,841.5063169909786,1079.712158203125,755.8483286279393,-31.928372421269344,0.892535586883999,21.80810546875,
RUL,ZN-coin2024,Attention,experiment1,flat,ZN-coin_445-3_20240104212530_07_1,196.99853606508069,4.041928625090927,44917.98028186147,211.93862385573203,334.6537780761719,196.99853606508069,-4.296931660735408,0.5662048296603582,79.7442626953125,
RUL,ZN-coin2024,Attention,experiment1,flat,ZN-coin_433-1_20231227204534_01_4,45.57589787956758,0.433867556813622,3311.5162173139297,57.54577497361496,347.9593811035156,35.3038917232713,0.96127515710944,0.9891107244229916,347.9593811035156,
RUL,ZN-coin2024,Attention,experiment1,flat,ZN-coin_417-3_20231209234058_10_8,16.189520209036825,0.3700313207976404,362.90773536198026,19.050137410580017,44.439605712890625,10.548452274878615,0.9715143064611964,0.9914338246152348,29.164459228515625,
RUL,ZN-coin2024,Attention,experiment1,flat,ZN-coin_423-1_20231205230055_02_2,50.30837606834938,0.3576060443725767,4927.823350800254,70.19845689757186,178.36398315429688,-38.28792944710578,0.6132006785574771,0.853963194313594,9.78839111328125,
RUL,ZN-coin2024,Attention,experiment1,flat,ZN-coin_434-2_20231227204612_01_8,37.128916172622944,0.1460596156954529,2632.3890497728216,51.30681289821871,164.4427490234375,-27.9300070378592,0.9706818192931314,0.9896312777506387,15.506744384765623,
RUL,ZN-coin2024,CNN,experiment1,flat,ZN-coin_430-2_20231212185305_02_7,107.838539494273,2.8400300834369845,20645.823484170167,143.68654594000847,388.6971740722656,107.838539494273,-0.6205512953304777,0.577321316799945,142.03860473632812,
RUL,ZN-coin2024,CNN,experiment1,flat,ZN-coin_407-3_20231209231841_02_2,21.484719317892324,0.6636782370279425,718.3651057745984,26.802333961328785,49.072296142578125,12.14877003233146,0.9436134139393456,0.9831231773927028,45.807342529296875,
RUL,ZN-coin2024,CNN,experiment1,flat,ZN-coin_439-1_20231227204804_04_6,800.0473266962007,3.800623459851612,758638.1456262228,870.998361437163,1058.99658203125,797.3473007923036,-34.276880997230315,0.8458264429401955,45.419952392578125,
RUL,ZN-coin2024,CNN,experiment1,flat,ZN-coin_445-2_20240104212521_09_8,205.62630471707524,3.9055553625829607,49036.55036609793,221.4419796833878,348.18890380859375,205.62630471707524,-2.3200101811593945,0.7548451562848565,147.09262084960938,
RUL,ZN-coin2024,CNN,experiment1,flat,ZN-coin_414-2_20231209233354_06_6,37.59944874795197,0.9873047352600808,2384.3165408478803,48.829463859926626,99.47137451171876,-34.935079355069135,0.8128479950576202,0.9777211064841896,55.181488037109375,
RUL,ZN-coin2024,CNN,experiment1,flat,ZN-coin_408-2_20231209231947_02_4,138.46878457618186,0.8285933146830139,27441.19459865178,165.65383967373583,331.4067077636719,-138.46878457618186,-1.1539399233146286,0.5982923218174544,5.289031982421875,
RUL,ZN-coin2024,CNN,experiment1,flat,ZN-coin_445-1_20240104212517_09_7,160.24919284322988,2.650808738497776,34725.0351734361,186.3465459122763,327.0130615234375,160.13964548525604,-0.9692929641914274,0.7055637392653968,181.0692138671875,
RUL,ZN-coin2024,CNN,experiment1,flat,ZN-coin_422-3_20231205230049_02_1,24.32071558959649,0.4172108789462176,820.0049195230856,28.635728025022964,63.956024169921875,-20.2432782107302,0.9356354065736646,0.9957241568274584,16.4910888671875,
RUL,ZN-coin2024,CNN,experiment1,flat,ZN-coin_450-1_20240116203402_01_2_Batch-3,187.17713555400857,0.6776858146798674,47584.65361226359,218.13906943109387,457.1058349609375,-138.3635756639149,0.0942510444082299,0.8267508192946236,38.484893798828125,
RUL,ZN-coin2024,CNN,experiment1,flat,ZN-coin_443-2_20240104212500_09_5,75.51256857447206,0.5515598382130591,7142.067394132141,84.51075312723312,164.56756591796875,-31.284735418602903,0.7257270588518085,0.9031256724508776,13.327667236328123,
RUL,ZN-coin2024,CNN,experiment1,flat,ZN-coin_450-2_20240116203410_01_4_Batch-3,226.69458857231237,0.7079123128487618,62155.1343030638,249.30931451324437,365.3578796386719,-223.2344636700916,-0.1830904231938614,0.8788053632054866,23.60040283203125,
RUL,ZN-coin2024,CNN,experiment1,flat,ZN-coin_411-1_20231209232756_09_4,31.295944643142583,0.8348422140082409,1461.8603051198977,38.234281804682794,74.87750244140625,16.760406806340914,0.8852542930597724,0.9622118509412856,59.046051025390625,
RUL,ZN-coin2024,CNN,experiment1,flat,ZN-coin_434-3_20231227204618_03_1,69.78533152570628,0.4609220047795665,5738.606355631436,75.75358972109134,254.1212158203125,55.17266999832307,0.9297384486497212,0.9848636347964452,47.351165771484375,
RUL,ZN-coin2024,CNN,experiment1,flat,ZN-coin_436-3_20231227204657_03_7,437.0954853092646,0.6381578031155912,251032.0437938743,501.0309808723152,784.8540496826172,-437.0683065211519,-0.1132142832216802,0.891485376617812,22.35455322265625,
RUL,ZN-coin2024,Attention,experiment1,flat,ZN-coin_434-3_20231227204618_03_1,44.98435581091678,0.1500734436896294,2722.420573214289,52.17682026737821,148.53717041015625,37.72511323871034,0.966667605155694,0.9924441301810404,2.434600830078125,
