target,model,task,dataset,mean_mae,mean_mape,mean_rmse,mean_r2,mean_pearson_r,n_batteries,n_metric_rows,performance_score,mean_abs_corr,median_abs_corr,max_abs_corr,top3_abs_corr,strong_feature_fraction,n_features,feature_quality_score,performance_rank
RUL,CNN,MICH_EXP,MICH_EXP,42.91751563851417,0.9350166727664803,50.00300093387963,0.7222494706303371,0.9866545788678446,3,3,0.6770833333333333,0.12628086351906,0.13282489004930959,0.2381660167277987,0.23669971593553998,0.0,16,0.20038219872746624,9
RUL,CNN,MATR,MATR,108.10823220330795,0.43525287949015584,134.4577543287606,0.7123363576810362,0.9708551359188964,33,33,0.625,0.4279950893325099,0.4579427450515766,0.85207575881162,0.7744419011376169,0.25,16,0.6848375830939156,10
RUL,CNN,NAion2024,NA-ion,26.509461981362687,1.0848572695713685,32.93593479934639,0.3243194106916086,0.9690325875165623,5,5,0.6041666666666666,0.24959343080433505,0.15653504912823335,0.6849663604743345,0.5077693966433549,0.0,16,0.4807763959740081,11
RUL,CNN,Stanford_2,Stanford_2,109.7476636499624,0.9624433434929388,129.50600004000026,0.7474064092543073,0.9649390615062544,36,36,0.5625,0.5230818465703697,0.6322591983688142,0.8805076138120905,0.7991058035651912,0.3125,16,0.7342317546492172,12
RUL,CNN,UL_PUR,UL_PUR,39.45806956225011,0.9666371878752701,47.241056192122095,0.5484798949102926,0.859778862308556,2,2,0.5104166666666666,0.5721833711038543,0.5919703343342806,0.7397530472332431,0.7222421031555267,0.125,16,0.678059507164208,13
RUL,CNN,ZN-coin42,ZN-coin,101.36406702595042,0.751287396381663,117.42069995537152,-1.1033551164743314,0.9572186767088724,20,20,0.5,0.4110900299803121,0.4764250502388606,0.6363956764754415,0.567860588081082,0.0,16,0.5384487648456119,14
RUL,CNN,HUST,HUST,170.47074292077963,1.3357066012933956,217.23964156073546,0.7716455546394354,0.94080373760524,15,15,0.4375,0.4656472153338205,0.4499080204037939,0.8060191761837487,0.8036060288406301,0.1875,16,0.6917574734527331,15
RUL,CNN,CALB,CALB,32.470819072415125,1.9535770588444337,35.44023918398769,-1.609449205214989,0.625230753195654,5,5,0.3645833333333333,0.13460890401848252,0.14021436597529705,0.334454832836895,0.2533293979792701,0.0,16,0.2407977116115492,16
RUL,CNN,Tongji,Tongji,77.6881004930961,2.203757950501852,89.15603687399192,-0.20275283714357353,0.7472064545677208,21,21,0.3333333333333333,0.1619690330978379,0.15857728576703564,0.3236319891778558,0.2773052554032158,0.0,16,0.2543020925596365,17
RUL,CNN,ZN-coin2024,ZN-coin,148.34252870184795,1.443517855303363,168.67142761478385,-1.6915433283643662,0.8699216795028226,20,20,0.2916666666666667,0.4110900299803121,0.4764250502388606,0.6363956764754415,0.567860588081082,0.0,16,0.5384487648456119,18
