target,model,task,dataset,mean_mae,mean_mape,mean_rmse,mean_r2,mean_pearson_r,n_batteries,n_metric_rows,performance_score,mean_abs_corr,median_abs_corr,max_abs_corr,top3_abs_corr,strong_feature_fraction,n_features,feature_quality_score,performance_rank,group
RUL,MLP,NAion,NA-ion,17.00231613555858,0.5269285484502745,18.49412826902065,0.8278809230292922,0.9964127668775353,5,5,0.8749999999999999,0.24959343080433505,0.15653504912823335,0.6849663604743345,0.5077693966433549,0.0,16,0.4807763959740081,3,性能最好
RUL,MLP,ISU_ILCC,ISU_ILCC,1444.8175322404893,5.7099611164058715,1750.4210150471981,-35.12172357881771,0.5238838954373196,48,48,0.08630952380952381,0.10621189738340767,0.09542576146725401,0.2243400565409862,0.2015850390214956,0.0,16,0.17737899764862983,24,性能最差
RUL,MLP,UL_PUR,UL_PUR,1204.0454440040457,21.652589766527292,1208.5533917777536,-360.9030312471514,0.8386748449242266,2,2,0.11160714285714282,0.5721833711038543,0.5919703343342806,0.7397530472332431,0.7222421031555267,0.125,16,0.678059507164208,23,性能最差
RUL,MLP,CALCE,CALCE,537.7440726682742,2.5294755837855223,559.6303969312571,-2.6425559486973222,0.8959424270501444,2,2,0.2068452380952381,0.3094574615243322,0.25471645886777317,0.759975479463217,0.6787922361404579,0.0625,16,0.5827417257093357,22,性能最差
SOH,Attention,NAion,NA-ion,0.0006651523633680199,0.0007872207064384201,0.00089562524977906,0.9991647029240742,0.9997752220495328,5,5,0.9787137681159421,0.35217775041725363,0.2872345618255437,0.996647016185339,0.6808218756045532,0.0625,16,0.6765488807357153,1,性能最好
SOH,Attention,RWTH,RWTH,0.002287810010321367,0.004416058868557933,0.0032844325728791333,0.9997722280082919,0.9999338501718859,9,9,0.9166666666666666,0.8048668235156076,0.9590176387261788,0.9982899618340508,0.9967637235821853,0.75,16,0.9333068363106145,2,性能最好
SOH,Attention,XJTU,XJTU,0.001214659328995225,0.001310081466827825,0.0014638320348508,0.9989220338686386,0.9997036116811778,4,4,0.894927536231884,0.558355358855729,0.5416575130627215,0.9383131406030448,0.855079930022967,0.1875,16,0.7839161431605802,3,性能最好
SOH,Attention,HNEI,HNEI,0.14931427495098437,0.26267150449441357,0.17281266318048785,-0.01176903868462905,,2,2,0.11111111111111109,0.9035176803708533,0.9644295271583254,0.9878710721606272,0.9877982187973391,0.875,16,0.9597289904429399,24,性能最差
SOH,Attention,UL_PUR,UL_PUR,0.05731908101117955,0.06254468498140865,0.0594789121958768,-0.8439767286670999,0.9738476687974629,2,2,0.21150362318840582,0.6258631749163975,0.5977273196169286,0.8916610748111519,0.8717997683103565,0.4375,16,0.7964413393459687,23,性能最差
SOH,Attention,ZN-coin2024,ZN-coin,0.05322586100527223,0.0666426261509914,0.059795464619964635,0.7901212826473357,0.9792352365069087,20,20,0.26449275362318836,0.5999550791803668,0.7283110454629567,0.8277727374267557,0.8184261604916131,0.25,16,0.7487179923662453,22,性能最差
SOH,CNN,NAion,NA-ion,0.00211595242613526,0.00257673480938986,0.00252715576456632,0.9933139227488532,0.9996811713223778,5,5,0.96875,0.35217775041725363,0.2872345618255437,0.996647016185339,0.6808218756045532,0.0625,16,0.6765488807357153,1,性能最好
SOH,CNN,XJTU,XJTU,0.00332109491332515,0.00363253745126985,0.0039779532899155,0.9914967332796178,0.9993235804808949,4,4,0.8958333333333333,0.558355358855729,0.5416575130627215,0.9383131406030448,0.855079930022967,0.1875,16,0.7839161431605802,2,性能最好
SOH,CNN,RWTH,RWTH,0.003855269583512489,0.008314142647666289,0.004789197970576033,0.9995447159330941,0.9999174187169917,9,9,0.8854166666666666,0.8048668235156076,0.9590176387261788,0.9982899618340508,0.9967637235821853,0.75,16,0.9333068363106145,3,性能最好
SOH,CNN,CALB42,CALB,0.04383649568726314,0.04519616724222168,0.04433654395516022,-11184.480131057551,0.48820192040818783,5,5,0.125,0.7056551938510651,0.6974270994749904,0.8857564621083487,0.8757700117639272,0.5,16,0.8223938892411137,24,性能最差
SOH,CNN,ZN-coin2024,ZN-coin,0.0528490977304051,0.06518790506910835,0.06115624935006854,0.7872254704232031,0.9814030746224327,20,20,0.21875,0.5999550791803668,0.7283110454629567,0.8277727374267557,0.8184261604916131,0.25,16,0.7487179923662453,23,性能最差
SOH,CNN,UL_PUR,UL_PUR,0.0375509267076469,0.0415413033295184,0.042331645804149456,0.26342701530615664,0.9756000957883758,2,2,0.23958333333333331,0.6258631749163975,0.5977273196169286,0.8916610748111519,0.8717997683103565,0.4375,16,0.7964413393459687,22,性能最差
SOH,GRU,NAion,NA-ion,0.00043494817422535994,0.00051272444438062,0.0007162263749354799,0.9994731450521378,0.99982206104198,5,5,1.0,0.35217775041725363,0.2872345618255437,0.996647016185339,0.6808218756045532,0.0625,16,0.6765488807357153,1,性能最好
