target,task,dataset,mean_mae,mean_mape,mean_rmse,mean_r2,mean_pearson_r,median_mape,median_r2,n_metric_rows,n_batteries,n_models,mean_abs_corr,median_abs_corr,max_abs_corr,top3_abs_corr,strong_feature_fraction,very_strong_feature_fraction,n_features,performance_score,feature_quality_score,quadrant
RUL,NAion2024,NA-ion,25.202169320789938,0.9824296235550939,29.43731452854507,0.47802361221763684,0.9780828461376604,0.6785656473483394,0.8115636052681928,25,5,5,0.24959343080433505,0.15653504912823335,0.6849663604743345,0.5077693966433549,0.0,0.0,16,0.7083333333333333,0.4807763959740081,低相关-好预测
RUL,NAion42,NA-ion,27.085302986518926,1.2979581577674504,30.547589897885892,0.3702908302851474,0.9927112757799682,0.7792136008410075,0.7397068963565046,25,5,5,0.24959343080433505,0.15653504912823335,0.6849663604743345,0.5077693966433549,0.0,0.0,16,0.6979166666666666,0.4807763959740081,低相关-好预测
RUL,RWTH,RWTH,137.89209268481443,0.817589965603243,158.14872898355642,0.9254619086482763,0.9909488001254418,0.5417210562610406,0.949115223092558,45,9,5,0.7746738914812756,0.9225857205724362,0.960118702705342,0.9575677775661608,0.75,0.5625,16,0.6979166666666667,0.8974534572509262,高相关-好预测
RUL,SDU,SDU,55.67188670461234,0.5593124135430153,73.32424794617694,0.4504840019821703,0.9464636841821008,0.3059875865133616,0.8711935512402678,85,17,5,0.5412679884064729,0.7124474336053608,0.8780163231613252,0.8536691388160751,0.5,0.0,16,0.625,0.7576511501279578,高相关-好预测
RUL,SNL,SNL,301.4822305988111,1.9148005201706138,369.0407174504135,-0.29925535223677874,0.7222297262120754,1.499207606366836,0.4314575967719668,50,10,5,0.3593712087732947,0.4127143623937205,0.5879159688138286,0.5807825348318784,0.0,0.0,16,0.3229166666666667,0.5093565708063338,低相关-差预测
RUL,Stanford,Stanford,78.7910479007137,0.5636515775334217,90.80897075436758,0.8815167218182676,0.985730053855554,0.4951847565239508,0.8939699841556945,40,8,5,0.5858744512784766,0.7091253500485417,0.9158149683641564,0.8601016936787613,0.5,0.0625,16,0.7291666666666666,0.7872637044404648,高相关-好预测
RUL,Stanford_2,Stanford_2,101.2508078399604,0.8788114194146164,116.75032871233515,0.7967437463540844,0.9759987817926837,0.8270924660635177,0.9019262624549822,180,36,5,0.5230818465703697,0.6322591983688142,0.8805076138120905,0.7991058035651912,0.3125,0.0,16,0.6354166666666666,0.7342317546492172,高相关-好预测
RUL,Tongji,Tongji,82.46629638817952,2.280086662057987,96.98065017835673,-0.7285710852757171,0.7347825492832039,1.1127083850175443,0.4573692883446746,105,21,5,0.1619690330978379,0.15857728576703564,0.3236319891778558,0.2773052554032158,0.0,0.0,16,0.3541666666666667,0.2543020925596365,低相关-差预测
RUL,UL_PUR,UL_PUR,313.32790503706894,6.5259204340054735,323.36579697133186,-73.34526342268025,0.5979138463568814,1.0677912145700796,0.4748063603218876,10,2,5,0.5721833711038543,0.5919703343342806,0.7397530472332431,0.7222421031555267,0.125,0.0,16,0.125,0.678059507164208,高相关-差预测
RUL,XJTU,XJTU,17.860145747539274,0.1931878227646955,21.868393371887475,0.8951678654242337,0.9883233743529087,0.19269798916625724,0.9220420910239894,20,4,5,0.584860791737689,0.6809069998503198,0.9658673099702948,0.8942055812063175,0.375,0.0625,16,0.9166666666666666,0.8149778943047671,高相关-好预测
RUL,ZN-coin,ZN-coin,127.5876272004088,5883.237821408721,148.06915513920845,-9.62009591976033,0.9317131506634929,5183.199221015824,0.7423215916301582,100,20,5,0.4110900299803121,0.4764250502388606,0.6363956764754415,0.567860588081082,0.0,0.0,16,0.22916666666666669,0.5384487648456119,高相关-差预测
RUL,ZN-coin2024,ZN-coin,146.3370779762299,1.2799017439653637,168.47755589873302,-1.5991361031427807,0.8566886615909634,0.6800060677098774,0.5817055964348605,100,20,5,0.4110900299803121,0.4764250502388606,0.6363956764754415,0.567860588081082,0.0,0.0,16,0.3333333333333333,0.5384487648456119,高相关-差预测
RUL,ZN-coin42,ZN-coin,101.43464456297326,0.8094756611592124,118.51699254417929,-1.0716818948444036,0.947919010497274,0.5624318632701386,0.8852531035756082,100,20,5,0.4110900299803121,0.4764250502388606,0.6363956764754415,0.567860588081082,0.0,0.0,16,0.4895833333333333,0.5384487648456119,高相关-差预测
SOH,CALB,CALB,0.006449321633155845,0.007217138741484624,0.00820337458915264,-31.030406549971932,0.34125986400443636,0.0035944260458205,-2.938532499278678,25,5,5,0.7056551938510651,0.6974270994749904,0.8857564621083487,0.8757700117639272,0.5,0.0,16,0.4583333333333333,0.8223938892411137,高相关-好预测
SOH,CALB2024,CALB,0.009236092736369944,0.010856124315669355,0.015262899571091408,-77.84012352145395,-0.05091693756793946,0.0064550422885059,-2.7862295731719717,25,5,5,0.7056551938510651,0.6974270994749904,0.8857564621083487,0.8757700117639272,0.5,0.0,16,0.3645833333333333,0.8223938892411137,高相关-差预测
SOH,CALB42,CALB,0.015567154350906864,0.016691029144489576,0.01676537923384713,-2270.3544017174963,0.4362002607841998,0.0054643233756883,-1.7890202731757952,25,5,5,0.7056551938510651,0.6974270994749904,0.8857564621083487,0.8757700117639272,0.5,0.0,16,0.35416666666666663,0.8223938892411137,高相关-差预测
SOH,CALCE,CALCE,0.01954347021014341,0.03862178636054419,0.03740313466742013,0.9030792053085293,0.9667780481746696,0.02863962983895355,0.918027235509036,10,2,5,0.45294725418032955,0.3867621420805683,0.8975896637625764,0.7769406976219049,0.1875,0.0,16,0.40625,0.7091592051882704,低相关-差预测
SOH,HNEI,HNEI,0.03567168917142104,0.06204711321670416,0.045548284425136545,0.7923195294794869,0.9969724488982498,0.011416944446165051,0.9910272073547419,10,2,5,0.9035176803708533,0.9644295271583254,0.9878710721606272,0.9877982187973391,0.875,0.75,16,0.40625,0.9597289904429399,高相关-差预测
SOH,HUST,HUST,0.017414171776346812,0.018832443582233592,0.027540313350538467,0.8339323613769575,0.9595346415223791,0.0160061064638674,0.91126941379941,75,15,5,0.5108921631861496,0.4891289190755456,0.8506072358471848,0.8433387693773559,0.1875,0.0,16,0.44791666666666663,0.7349460561368968,低相关-好预测
SOH,ISU_ILCC,ISU_ILCC,0.038053138296621075,0.14436581721084663,0.04850742800289473,0.8878291166649003,0.9822847511503876,0.08033195194950016,0.9702297259017747,240,48,5,0.4431003504125348,0.4297514200099952,0.7702033487864858,0.7331115110282359,0.125,0.0,16,0.3125,0.6488050700757522,低相关-差预测
SOH,MATR,MATR,0.004462790953953802,0.005343561566708999,0.00957705077629739,0.9623065501072692,0.9850694383269509,0.0043029221549195,0.9810954973473516,165,33,5,0.4329274334478794,0.4238486493403748,0.8879351984756036,0.7653663726794683,0.125,0.0,16,0.7395833333333333,0.6954096682009837,低相关-好预测
SOH,MICH,MICH,0.005321644464645425,0.009051101404199915,0.010431488635104565,0.993293981797979,0.9970395054036014,0.0067500197718667,0.997587648139329,40,8,5,0.576355563066732,0.5424898816776379,0.9036347780212308,0.9010480940831558,0.375,0.0625,16,0.7708333333333334,0.7936794783903728,高相关-好预测
SOH,MICH_EXP,MICH_EXP,0.018527510376012805,0.02204108358449587,0.02477924104395984,0.5533957056045353,0.9831010628600649,0.0125337148686334,0.7882531170318715,15,3,5,0.37254519259179314,0.33255607826486855,0.6765914253865224,0.6531024264924588,0.0,0.0,16,0.4375,0.5674130148235914,低相关-差预测
SOH,NAion,NA-ion,0.0009123384948271441,0.001098423168502448,0.00120186358526628,0.9980027579764321,0.9997631503928761,0.0008058742093564,0.9992309474807872,25,5,5,0.35217775041725363,0.2872345618255437,0.996647016185339,0.6808218756045532,0.0625,0.0625,16,0.9791666666666667,0.6765488807357153,低相关-好预测
SOH,NAion2024,NA-ion,0.006904059333337732,0.008598934448811057,0.008929037883850764,0.7204270760449895,0.9983079866053954,0.0015771632480709,0.9965206678205224,25,5,5,0.35217775041725363,0.2872345618255437,0.996647016185339,0.6808218756045532,0.0625,0.0625,16,0.6979166666666666,0.6765488807357153,低相关-好预测
SOH,NAion42,NA-ion,0.005674575876877575,0.006849511892247397,0.006836843616644284,0.7169796842041546,0.9989943494868161,0.001441608100915,0.993843043561955,25,5,5,0.35217775041725363,0.2872345618255437,0.996647016185339,0.6808218756045532,0.0625,0.0625,16,0.7395833333333333,0.6765488807357153,低相关-好预测
SOH,RWTH,RWTH,0.00343123992462544,0.006705426992017689,0.0050860327020647396,0.9994202956044099,0.9998279714548306,0.006586352100381,0.9995584628044284,45,9,5,0.8048668235156076,0.9590176387261788,0.9982899618340508,0.9967637235821853,0.75,0.5625,16,0.9479166666666666,0.9333068363106145,高相关-好预测
SOH,SDU,SDU,0.02246239267932144,0.025771504178160782,0.028292436882025075,0.640862169794737,0.9934560700704201,0.0085326308743916,0.9813795431808788,85,17,5,0.5821527820515832,0.6096411362281595,0.8503627993846817,0.7436472442596699,0.125,0.0,16,0.44791666666666663,0.7253876085653116,低相关-好预测
SOH,SNL,SNL,0.017340245911567857,0.020962147387421973,0.02237917772989414,0.659177728846602,0.9158834473730154,0.020106725284565252,0.9295894168184862,50,10,5,0.25044492220981784,0.271400337997485,0.4390966667972094,0.43639830924478423,0.0,0.0,16,0.40624999999999994,0.3753132994172705,低相关-差预测
SOH,Stanford,Stanford,0.017317818382858598,0.8594481467863885,0.025765168264404347,0.9779326005859421,0.9922498977126912,0.03405221259044085,0.9871152074130469,40,8,5,0.6030223502655379,0.6915494927212097,0.9663326302629028,0.9197642505093827,0.5,0.125,16,0.47916666666666663,0.8297064103459411,高相关-好预测
SOH,Stanford_2,Stanford_2,0.012726406951225044,0.6163125093310525,0.018849477561836255,0.9851175734388952,0.9956058194175725,0.018104662616633398,0.9934622386581637,180,36,5,0.5496840652526302,0.621080496330362,0.945418700515852,0.859967646148711,0.3125,0.0625,16,0.5520833333333334,0.7850234706390644,高相关-好预测
SOH,Tongji,Tongji,0.023805603832325266,0.02907844685617254,0.02892369349786285,0.4477839066079914,0.9153506868160971,0.0128579285209874,0.9491882886042936,105,21,5,0.22644620842873556,0.25234041698030135,0.4589297561043,0.4298096324705729,0.0,0.0,16,0.28125,0.3717285323345361,低相关-差预测
SOH,UL_PUR,UL_PUR,0.04254029415017952,0.04640728590951153,0.04604143312913656,-0.12182350337809074,0.9663434411266639,0.0247781189827254,0.7426989182804709,10,2,5,0.6258631749163975,0.5977273196169286,0.8916610748111519,0.8717997683103565,0.4375,0.0,16,0.20833333333333337,0.7964413393459687,高相关-差预测
SOH,XJTU,XJTU,0.0019431923571034,0.00210542647032015,0.0023950177141495747,0.9965516131757208,0.9993843573375143,0.00181004314696575,0.9978419614285339,20,4,5,0.558355358855729,0.5416575130627215,0.9383131406030448,0.855079930022967,0.1875,0.0625,16,0.9374999999999999,0.7839161431605802,高相关-好预测
SOH,ZN-coin,ZN-coin,0.035498300137142454,0.04561910597267272,0.0435522876572505,0.8882850182691593,0.9799436867578223,0.03740259605373805,0.9354651709204826,100,20,5,0.5999550791803668,0.7283110454629567,0.8277727374267557,0.8184261604916131,0.25,0.0,16,0.3854166666666667,0.7487179923662453,高相关-差预测
SOH,ZN-coin2024,ZN-coin,0.05288987540697874,0.06520869647812215,0.061195908741481723,0.7763098678134618,0.9732832692475987,0.04388255640634,0.8980040021822686,100,20,5,0.5999550791803668,0.7283110454629567,0.8277727374267557,0.8184261604916131,0.25,0.0,16,0.26041666666666663,0.7487179923662453,高相关-差预测
SOH,ZN-coin42,ZN-coin,0.029963593975973632,0.03958901372840772,0.034214586315374974,0.9427054116836355,0.9920690433918508,0.0353544061700009,0.967395339733321,100,20,5,0.5999550791803668,0.7283110454629567,0.8277727374267557,0.8184261604916131,0.25,0.0,16,0.47916666666666674,0.7487179923662453,高相关-好预测
