target,task,dataset,model,mae,mape,rmse,r2,pearson_r,n_batteries,mean_feature_truth_corr,max_feature_truth_corr,top3_feature_truth_corr,n_valid_feature_corr
RUL,NAion,NA-ion,CNN,16.80902039909411,0.7111780082434922,19.055447314249513,0.8357610004963693,0.9953119653897398,5,0.24959343080433505,0.6849663604743345,0.5077693966433549,8
RUL,NAion,NA-ion,GRU,18.525341246828283,0.616886219171403,21.739369582112523,0.8288952724677365,0.9872800292053823,5,0.24959343080433505,0.6849663604743345,0.5077693966433549,8
RUL,NAion,NA-ion,LSTM,53.84860760062825,2.4199533749033524,62.862450385879036,-0.08141001562455345,,5,0.24959343080433505,0.6849663604743345,0.5077693966433549,8
RUL,NAion,NA-ion,MLP,17.00231613555858,0.5269285484502745,18.49412826902065,0.8278809230292922,0.9964127668775353,5,0.24959343080433505,0.6849663604743345,0.5077693966433549,8
RUL,NAion2024,NA-ion,Attention,28.892946298987557,1.0928118174396242,30.16500546622161,0.3812625437302002,0.9921308674859721,5,0.24959343080433505,0.6849663604743345,0.5077693966433549,8
RUL,NAion2024,NA-ion,CNN,26.509461981362687,1.0848572695713685,32.93593479934639,0.3243194106916086,0.9690325875165623,5,0.24959343080433505,0.6849663604743345,0.5077693966433549,8
RUL,NAion2024,NA-ion,GRU,27.75523168021124,1.1093903132287577,29.758012452388904,0.42668568917536753,0.9899920994430254,5,0.24959343080433505,0.6849663604743345,0.5077693966433549,8
RUL,NAion2024,NA-ion,LSTM,24.416863771541436,0.9569241336060343,26.314263762398546,0.5811242206611356,0.9902659561439962,5,0.24959343080433505,0.6849663604743345,0.5077693966433549,8
RUL,NAion2024,NA-ion,MLP,18.436342871846783,0.6681645839296845,28.013356162369895,0.6767261968298725,0.9489927200987456,5,0.24959343080433505,0.6849663604743345,0.5077693966433549,8
RUL,NAion42,NA-ion,Attention,23.33930752072504,0.993461520865076,24.85821480261321,0.6344599522407834,0.9947654435243886,5,0.24959343080433505,0.6849663604743345,0.5077693966433549,8
RUL,NAion42,NA-ion,CNN,25.081471079397062,1.0186681936509223,27.12773846157004,0.5528701667776422,0.9910292077985734,5,0.24959343080433505,0.6849663604743345,0.5077693966433549,8
RUL,NAion42,NA-ion,GRU,17.887378301607587,0.6826692010840826,20.413606045790395,0.704460549934799,0.9927309448053384,5,0.24959343080433505,0.6849663604743345,0.5077693966433549,8
RUL,NAion42,NA-ion,LSTM,50.2318740382182,3.0802027437951107,59.7167375074337,-0.7438103828647181,,5,0.24959343080433505,0.6849663604743345,0.5077693966433549,8
RUL,NAion42,NA-ion,MLP,18.886483992646742,0.7147891294420597,20.621652672022122,0.7034738653372304,0.9923195069915727,5,0.24959343080433505,0.6849663604743345,0.5077693966433549,8
RUL,RWTH,RWTH,Attention,140.66298270666786,0.7527929365500415,160.07657422193972,0.9201037098404049,0.9899455316356948,9,0.7746738914812756,0.960118702705342,0.9575677775661608,16
RUL,RWTH,RWTH,CNN,135.68174446167816,0.9232090464577623,157.20637568170582,0.9270260720633634,0.9902066794535411,9,0.7746738914812756,0.960118702705342,0.9575677775661608,16
RUL,RWTH,RWTH,GRU,139.2882207764585,0.7204277496705943,159.0944175400774,0.9240604277229308,0.9914732554365133,9,0.7746738914812756,0.960118702705342,0.9575677775661608,16
RUL,RWTH,RWTH,LSTM,132.40172365607157,0.7947447332979866,154.37149566629168,0.9341355389121713,0.9906214284224732,9,0.7746738914812756,0.960118702705342,0.9575677775661608,16
RUL,RWTH,RWTH,MLP,141.42579182319608,0.8967753620398311,159.99478180776757,0.9219837947025107,0.9924971056789865,9,0.7746738914812756,0.960118702705342,0.9575677775661608,16
RUL,SDU,SDU,Attention,86.65645705244481,1.107404044517891,110.22663886765187,-0.8068424496752834,0.9346810508360565,17,0.5412679884064729,0.8780163231613252,0.8536691388160751,16
RUL,SDU,SDU,CNN,42.23376939066345,0.33961527007845455,58.478426707721226,0.8797880808084708,0.9535170932983713,17,0.5412679884064729,0.8780163231613252,0.8536691388160751,16
RUL,SDU,SDU,GRU,44.95363653330922,0.32506096046930005,61.10016933615696,0.7761153725729516,0.9608304493149847,17,0.5412679884064729,0.8780163231613252,0.8536691388160751,16
RUL,SDU,SDU,LSTM,58.88877338390212,0.5927757706405623,75.13332937382191,0.6370104511534077,0.9356236526560626,17,0.5412679884064729,0.8780163231613252,0.8536691388160751,16
RUL,SDU,SDU,MLP,45.62679716274207,0.4317060220088686,61.6826754455327,0.7663485550513045,0.9476661748050286,17,0.5412679884064729,0.8780163231613252,0.8536691388160751,16
RUL,SNL,SNL,Attention,318.22817259989273,1.803607077299946,406.995540745785,-0.8422800432852451,0.6937100856211316,10,0.3593712087732947,0.5879159688138286,0.5807825348318784,16
RUL,SNL,SNL,CNN,300.3300892186505,1.7473042906786467,357.8839124124052,0.15449056453412643,0.7735813431107127,10,0.3593712087732947,0.5879159688138286,0.5807825348318784,16
RUL,SNL,SNL,GRU,290.4215746476269,2.1864161362109655,358.5353703905886,-0.6046457714475333,0.6756775159619762,10,0.3593712087732947,0.5879159688138286,0.5807825348318784,16
RUL,SNL,SNL,LSTM,300.6685529099212,1.9527430442848488,369.9183538368854,-0.25166007700618503,0.6407306771854753,10,0.3593712087732947,0.5879159688138286,0.5807825348318784,16
RUL,SNL,SNL,MLP,297.762763617964,1.8839320523786622,351.8704098664033,0.047818566020943185,0.8274490091810811,10,0.3593712087732947,0.5879159688138286,0.5807825348318784,16
RUL,Stanford,Stanford,Attention,81.60586464279704,0.6155843209585925,95.49192151650065,0.8739500594505543,0.9820106855345617,8,0.5858744512784766,0.9158149683641564,0.8601016936787613,16
RUL,Stanford,Stanford,CNN,96.03823962920659,0.5544255034178533,111.14055251365734,0.826408375742767,0.9799433177490052,8,0.5858744512784766,0.9158149683641564,0.8601016936787613,16
RUL,Stanford,Stanford,GRU,70.93713486864799,0.5226683416557331,80.91039452987877,0.9065429016069966,0.9921895748078128,8,0.5858744512784766,0.9158149683641564,0.8601016936787613,16
RUL,Stanford,Stanford,LSTM,69.46615530867454,0.5991295981375451,79.02180763642816,0.9070541918733854,0.9915148949354889,8,0.5858744512784766,0.9158149683641564,0.8601016936787613,16
RUL,Stanford,Stanford,MLP,75.90784505424237,0.5264501234973843,87.48017757537298,0.8936280804176349,0.9829917962509012,8,0.5858744512784766,0.9158149683641564,0.8601016936787613,16
RUL,Stanford_2,Stanford_2,Attention,98.59883809762887,0.908030514783025,118.00929864274147,0.8032431511303044,0.9679138857931977,36,0.5230818465703697,0.8805076138120905,0.7991058035651912,16
RUL,Stanford_2,Stanford_2,CNN,109.7476636499624,0.9624433434929388,129.50600004000026,0.7474064092543073,0.9649390615062544,36,0.5230818465703697,0.8805076138120905,0.7991058035651912,16
RUL,Stanford_2,Stanford_2,GRU,99.14352257586324,0.8281124894437757,111.37851590658039,0.8096437060796534,0.9827085838159887,36,0.5230818465703697,0.8805076138120905,0.7991058035651912,16
RUL,Stanford_2,Stanford_2,LSTM,99.57665742525838,0.8906747394794512,112.247107437849,0.8216684725558364,0.9834165940199691,36,0.5230818465703697,0.8805076138120905,0.7991058035651912,16
RUL,Stanford_2,Stanford_2,MLP,99.18735745108911,0.804796009873891,112.61072153450458,0.8017569927503201,0.9810157838280086,36,0.5230818465703697,0.8805076138120905,0.7991058035651912,16
RUL,Tongji,Tongji,Attention,85.14791704754518,2.388393677569372,101.96092590559151,-0.565225006772186,0.7076074693396587,21,0.1619690330978379,0.3236319891778558,0.2773052554032158,16
RUL,Tongji,Tongji,CNN,77.6881004930961,2.203757950501852,89.15603687399192,-0.20275283714357353,0.7472064545677208,21,0.1619690330978379,0.3236319891778558,0.2773052554032158,16
RUL,Tongji,Tongji,GRU,82.1452937159919,1.7301458134241532,97.20308978355659,-0.2763567004014029,0.7751721890530023,21,0.1619690330978379,0.3236319891778558,0.2773052554032158,16
RUL,Tongji,Tongji,LSTM,83.64157439881376,2.802975763264784,100.3604806262944,-1.610696992390193,0.5291918429861129,21,0.1619690330978379,0.3236319891778558,0.2773052554032158,16
RUL,Tongji,Tongji,MLP,83.70859628545067,2.275160105529773,96.22271770234923,-0.9878238896712302,0.9147347904695247,21,0.1619690330978379,0.3236319891778558,0.2773052554032158,16
RUL,UL_PUR,UL_PUR,Attention,84.24519092830884,2.9406908517361185,98.9907040791373,-1.0825280759761242,0.20731464497691654,2,0.5721833711038543,0.7397530472332431,0.7222421031555267,16
RUL,UL_PUR,UL_PUR,CNN,39.45806956225011,0.9666371878752701,47.241056192122095,0.5484798949102926,0.859778862308556,2,0.5721833711038543,0.7397530472332431,0.7222421031555267,16
RUL,UL_PUR,UL_PUR,GRU,111.44927375974366,3.4609479390232942,124.05592117850705,-2.2713089354419074,0.3867748758771318,2,0.5721833711038543,0.7397530472332431,0.7222421031555267,16
RUL,UL_PUR,UL_PUR,LSTM,127.44154693099641,3.608736424865395,137.9879116291394,-3.0179287497421394,0.6970260036975756,2,0.5721833711038543,0.7397530472332431,0.7222421031555267,16
RUL,UL_PUR,UL_PUR,MLP,1204.0454440040457,21.652589766527292,1208.5533917777536,-360.9030312471514,0.8386748449242266,2,0.5721833711038543,0.7397530472332431,0.7222421031555267,16
RUL,XJTU,XJTU,Attention,19.199496108710004,0.1760038999292919,22.90956130882726,0.892174039320178,0.984698083505168,4,0.584860791737689,0.9658673099702948,0.8942055812063175,16
RUL,XJTU,XJTU,CNN,17.198373452193934,0.19669811854363195,22.030446891366626,0.9042262545229622,0.984875080445104,4,0.584860791737689,0.9658673099702948,0.8942055812063175,16
RUL,XJTU,XJTU,GRU,20.363342550637654,0.2157273746617877,25.342570162475948,0.8495790146862124,0.9951276095996852,4,0.584860791737689,0.9658673099702948,0.8942055812063175,16
