target,task,dataset,model,feature,mean_abs_error_sensitivity,mean_signed_error_sensitivity,mean_abs_rel_error_sensitivity,mean_abs_pred_link,n_batteries,mean_rows,feature_truth_spearman,feature_truth_abs_spearman
SOH,HNEI,HNEI,MLP,current_entropy,0.33285116336266257,-0.33285116336266257,0.5303214890363845,0.9863652718215191,2,1078.0,0.951611729674934,0.951611729674934
SOH,HNEI,HNEI,MLP,current_kurtosis,0.33960522846142127,0.33960522846142127,0.5397371615570488,0.9888042325796539,2,1078.0,-0.9681182124302368,0.9681182124302368
SOH,HNEI,HNEI,MLP,current_mean,0.3420660006568416,-0.3420660006568416,0.5397006161270596,0.9880418849216078,2,1078.0,0.9629529415268838,0.9629529415268838
SOH,HNEI,HNEI,MLP,current_skewness,0.34270722294330974,0.34270722294330974,0.5424760363522666,0.9886981122941394,2,1078.0,-0.965906112789767,0.965906112789767
SOH,HNEI,HNEI,MLP,current_slope,0.34964817526233394,0.34964817526233394,0.5471795387893506,0.988620445141343,2,1078.0,-0.9679328956453488,0.9679328956453488
SOH,HNEI,HNEI,MLP,current_std,0.32801634088220905,-0.32801634088220905,0.525376527080314,0.9726639290294432,2,1078.0,0.9548586519551738,0.9548586519551738
SOH,HNEI,HNEI,MLP,voltage_entropy,0.1923867474219209,-0.03726929120691701,0.22343738642541963,0.5357538153731836,2,1078.0,0.6005840963554734,0.6005840963554734
SOH,HNEI,HNEI,MLP,voltage_kurtosis,0.218426990949712,-0.218426990949712,0.2552640444972701,0.4849634451817948,2,1078.0,0.5308264607813891,0.5308264607813891
SOH,HNEI,HNEI,MLP,voltage_mean,0.3380823296915387,0.3380823296915387,0.5380729881205839,0.9795141143515033,2,1078.0,-0.9729443448131012,0.9729443448131012
SOH,HNEI,HNEI,MLP,voltage_skewness,0.3502812228348908,-0.3502812228348908,0.548580864089701,0.986165636544097,2,1078.0,0.9794639993533358,0.9794639993533358
SOH,HNEI,HNEI,MLP,voltage_slope,0.3189863802044296,0.3189863802044296,0.5216108155007904,0.9917974393059086,2,1078.0,-0.9878493115059216,0.9878493115059216
SOH,HNEI,HNEI,MLP,voltage_std,0.2869142039591065,-0.2854793108073578,0.4636698955325227,0.9079686527654363,2,1078.0,0.8824297519582045,0.8824297519582045
SOH,HUST,HUST,Attention,CC_Q,0.542747278222548,-0.5422970739852566,0.569919857380116,0.9152431520554972,15,1832.8,0.8390655861433428,0.8390655861433428
SOH,HUST,HUST,Attention,CC_charge_time,0.5448795914521286,-0.5431652259318295,0.5708143150610058,0.9166257314702747,15,1832.8,0.8403434861415402,0.8403434861415402
SOH,HUST,HUST,Attention,CV_Q,0.48200434734776093,-0.12487728786118356,0.48864975121130777,0.5975111779736544,15,1832.8,0.250442035379377,0.250442035379377
SOH,HUST,HUST,Attention,CV_charge_time,0.48250920286096055,-0.14646747492558382,0.48822192213198723,0.6008555227117224,15,1832.8,0.3629637991864839,0.3629637991864839
SOH,HUST,HUST,Attention,current_entropy,0.44963692736981475,0.1612325203559749,0.4541716176534487,0.4869914181011313,15,1832.8,0.0003027362289511,0.0003027362289511
SOH,HUST,HUST,Attention,current_kurtosis,0.4936243118246242,-0.3651676014590681,0.5049159145788259,0.6315156818295791,15,1832.8,0.3948244937990487,0.3948244937990487
SOH,HUST,HUST,Attention,current_mean,0.4581783128778741,0.359095190138783,0.46829559844989904,0.5721521841570123,15,1832.8,-0.3546310959509368,0.3546310959509368
SOH,HUST,HUST,Attention,current_skewness,0.49482348593159126,-0.363117617869097,0.5053642054847197,0.6218469820269783,15,1832.8,0.3683299773442075,0.3683299773442075
SOH,HUST,HUST,Attention,current_slope,0.4659445278444193,-0.15977477572107135,0.47098923315382396,0.6043026786388332,15,1832.8,0.4747129622564435,0.4747129622564435
SOH,HUST,HUST,Attention,current_std,0.35622403729059715,0.3160189201493671,0.3706115123369995,0.5053948916444936,15,1832.8,-0.4779112576259472,0.4779112576259472
SOH,HUST,HUST,Attention,voltage_entropy,0.5234835998404551,0.5122581728565396,0.5443784810479886,0.8268304884754577,15,1832.8,-0.500346580525144,0.500346580525144
SOH,HUST,HUST,Attention,voltage_kurtosis,0.5251247381111864,-0.5209190058126549,0.5468046557299865,0.8447389498200732,15,1832.8,0.6337205954107676,0.6337205954107676
SOH,HUST,HUST,Attention,voltage_mean,0.5329451458195925,0.5315406766943604,0.5548111881138507,0.8486534363580118,15,1832.8,-0.5877795646684766,0.5877795646684766
SOH,HUST,HUST,Attention,voltage_skewness,0.5297741416909683,-0.5297741416909683,0.5517359309354987,0.8449114750154649,15,1832.8,0.6361750152461743,0.6361750152461743
SOH,HUST,HUST,Attention,voltage_slope,0.5485290582267243,0.5485290582267243,0.5753219370334232,0.913899854458206,15,1832.8,-0.8506072358471848,0.8506072358471848
SOH,HUST,HUST,Attention,voltage_std,0.5159168038641389,0.5045512754426968,0.5373967068311232,0.8300152424827029,15,1832.8,-0.6021181892243671,0.6021181892243671
SOH,HUST,HUST,CNN,CC_Q,0.5544877841805609,-0.5467955361817324,0.5800830231813829,0.9229713055770149,15,1832.8,0.8390655861433428,0.8390655861433428
