target,task,model,experiment,battery_name,mae,mape,mse,rmse,max_ae,bias,r2,pearson_r,endpoint_ae,endpoint_ape
SOH,MIX_large,LSTM,experiment1,MATR_b4c35,0.0294527794068941,0.0321881096729368,0.0009421015007943,0.0306936719991979,0.1361876130104065,0.028643079240379,0.6030113254115548,0.974835481788736,0.0187297463417053,0.025780417718689
SOH,MIX_large,LSTM,experiment1,MATR_b4c36,0.0334754893020694,0.0488195606919383,0.0040152883191518,0.0633663027101299,0.2853987514972687,0.0320624029485908,0.7206262119063104,0.9190467298461568,0.2853987514972687,0.5917215765173782
SOH,MIX_large,LSTM,experiment1,MATR_b4c41,0.036453292685502,0.050058438745298,0.002720691898067,0.0521602520897579,0.3179658949375152,0.0329805580878568,0.8417011473575001,0.9531437457121787,0.181971400976181,0.4619667409809592
SOH,MIX_large,LSTM,experiment1,MATR_b4c44,0.0366294650203559,0.0446280398117697,0.0022271550101944,0.0471927431942078,0.2055136561393737,0.0349294912958986,0.6921891554291807,0.9409768497066052,0.1844449639320373,0.3147577351282157
SOH,MIX_large,LSTM,experiment1,MATR_b4c6,0.0282556591807184,0.0316294594416157,0.0008962641007258,0.0299376702621611,0.0925380587577819,0.0244597348467263,0.7626389106543164,0.9680577471451344,0.0019716024398803,0.0029404284555745
SOH,MIX_large,LSTM,experiment1,MICH_01R_pouch_NMC_25C_0-100_0.2-0.2C,0.0341190467723755,0.0420853178006427,0.002220880952425,0.0471262236172716,0.195248544216156,0.000332866935428,0.6333708332206631,0.8730330796129289,0.195248544216156,0.2834618911875983
SOH,MIX_large,LSTM,experiment1,MICH_09H_pouch_NMC_45C_0-100_2-2C,0.1542166788237435,0.1857006319866881,0.026649637159711,0.1632471658550648,0.2404354810714721,-0.1529223445483616,-2.2631005462872515,0.7780574575701269,0.0158562064170837,0.0256988765538506
SOH,MIX_large,LSTM,experiment1,MICH_16R_pouch_NMC_25C_50-100_0.2-1.5C,0.0092623293175733,0.0093032638167747,0.000653439444126,0.0255624616210186,0.3902008533477783,-0.0074845490823114,0.0,,0.0057724714279174,0.0057979826377821
SOH,MIX_large,LSTM,experiment1,MICH_BLForm20_pouch_NMC_25C_0-100_1-1C_j,0.0124781464829164,0.0227624761553912,0.0002834632237723,0.016836366109476,0.0484225749969482,-0.010634318331248,0.99407965727813,0.998502238255956,0.0199172496795654,0.0989572729328214
SOH,MIX_large,LSTM,experiment1,MICH_BLForm6_pouch_NMC_45C_0-100_1-1C_f,0.0247064842001457,0.0446365439539891,0.0008968998275417,0.0299482858865366,0.0809362232685089,0.0211398882487797,0.9824307013766356,0.9959114896006308,0.0584045052528381,1.6809106301367045
SOH,MIX_large,LSTM,experiment1,MICH_BLForm7_pouch_NMC_45C_0-100_1-1C_g,0.016718684909641,0.0415834751040618,0.0004847006523348,0.0220159181578885,0.0894345045089721,0.0140391262798392,0.992975924529314,0.9980095751638324,0.0325069427490234,0.7991290370320442
SOH,MIX_large,LSTM,experiment1,MICH_MCForm21_pouch_NMC_25C_0-100_1-1C_a,0.0105316807014137,0.011195808124124,0.0028476372382239,0.0533632573801856,1.1332720518112185,-0.0050736848788191,0.8093320062439412,0.9058550422877646,1.1332720518112185,
SOH,MIX_large,LSTM,experiment1,MICH_MCForm28_pouch_NMC_25C_0-100_1-1C_h,0.0071121375811727,0.010439212126396,0.0001063130270034,0.0103108208695273,0.0389308333396911,-0.0044986216544295,0.9956178680447976,0.9989424606184394,0.0032463669776916,0.0090775189114977
